"","zero","adapt","over"
"b= 0.41",0.107,0.1306,0.1366
"b= 0.415",0.1082,0.1352,0.1416
"b= 0.42",0.1116,0.1388,0.1434
"b= 0.425",0.1142,0.1418,0.1476
"b= 0.43",0.1174,0.1422,0.1496
"b= 0.435",0.1198,0.1452,0.1508
"b= 0.44",0.1214,0.1476,0.1548
"b= 0.445",0.1236,0.15,0.1592
"b= 0.45",0.1264,0.1526,0.1618
"b= 0.455",0.131,0.1556,0.165
"b= 0.46",0.1322,0.158,0.1674
"b= 0.465",0.1346,0.1598,0.1704
"b= 0.47",0.137,0.1612,0.1738
"b= 0.475",0.1388,0.1638,0.1766
"b= 0.48",0.1412,0.1656,0.1788
"b= 0.485",0.1422,0.1674,0.182
"b= 0.49",0.1442,0.1688,0.1838
"b= 0.495",0.1458,0.1678,0.1852
"b= 0.5",0.1482,0.1688,0.1884
"b= 0.505",0.1488,0.1708,0.1884
"b= 0.51",0.1492,0.1734,0.1924
"b= 0.515",0.153,0.1762,0.1958
"b= 0.52",0.152,0.1788,0.1976
"b= 0.525",0.1548,0.1798,0.2012
"b= 0.53",0.1544,0.1808,0.2032
"b= 0.535",0.1564,0.181,0.2042
"b= 0.54",0.156,0.1814,0.2066
"b= 0.545",0.1572,0.1826,0.2102
"b= 0.55",0.1582,0.184,0.2128
"b= 0.555",0.1594,0.1856,0.2136
"b= 0.56",0.1614,0.1862,0.2158
"b= 0.565",0.162,0.1856,0.2172
"b= 0.57",0.1642,0.1868,0.22
"b= 0.575",0.1654,0.188,0.2206
"b= 0.58",0.165,0.19,0.223
"b= 0.585",0.167,0.191,0.227
"b= 0.59",0.1684,0.192,0.2272
"b= 0.595",0.1684,0.1944,0.2298
"b= 0.6",0.1702,0.198,0.2322
"b= 0.605",0.1734,0.199,0.234
"b= 0.61",0.1722,0.2006,0.2356
"b= 0.615",0.1746,0.2032,0.2378
"b= 0.62",0.174,0.2054,0.24
"b= 0.625",0.1758,0.2082,0.2412
"b= 0.63",0.1762,0.2122,0.242
"b= 0.635",0.1784,0.2124,0.2444
"b= 0.64",0.1794,0.2136,0.2454
"b= 0.645",0.1802,0.217,0.2488
"b= 0.65",0.1828,0.2196,0.25
"b= 0.655",0.184,0.2222,0.2504
"b= 0.66",0.1878,0.2238,0.2534
"b= 0.665",0.1884,0.2232,0.2544
"b= 0.67",0.1928,0.2258,0.2582
"b= 0.675",0.1936,0.2266,0.2624
"b= 0.68",0.194,0.2302,0.264
"b= 0.685",0.1972,0.232,0.266
"b= 0.69",0.1996,0.2352,0.266
"b= 0.695",0.202,0.2368,0.268
"b= 0.7",0.2034,0.2404,0.2698
"b= 0.705",0.2064,0.241,0.2758
"b= 0.71",0.2054,0.2454,0.2788
"b= 0.715",0.209,0.2504,0.2816
"b= 0.72",0.211,0.2518,0.282
"b= 0.725",0.2112,0.2552,0.2848
"b= 0.73",0.2172,0.2606,0.29
"b= 0.735",0.219,0.2606,0.2928
"b= 0.74",0.2232,0.2644,0.2968
"b= 0.745",0.2256,0.2654,0.298
"b= 0.75",0.2262,0.2676,0.3012
"b= 0.755",0.229,0.2718,0.3022
"b= 0.76",0.2332,0.276,0.3038
"b= 0.765",0.2366,0.2792,0.3076
"b= 0.77",0.2356,0.279,0.3114
"b= 0.775",0.239,0.2822,0.3138
"b= 0.78",0.2384,0.2844,0.3164
"b= 0.785",0.244,0.2858,0.321
"b= 0.79",0.2454,0.2908,0.3228
"b= 0.795",0.2494,0.2892,0.3266
"b= 0.8",0.2496,0.2912,0.3292
"b= 0.805",0.2536,0.293,0.3316
"b= 0.81",0.255,0.2958,0.3344
"b= 0.815",0.2572,0.2998,0.3354
"b= 0.82",0.2584,0.2998,0.338
"b= 0.825",0.2586,0.301,0.342
"b= 0.83",0.2618,0.3056,0.3442
"b= 0.835",0.2656,0.307,0.3436
"b= 0.84",0.2682,0.3068,0.3478
"b= 0.845",0.2662,0.3068,0.3498
"b= 0.85",0.2684,0.3086,0.3526
"b= 0.855",0.271,0.3138,0.3552
"b= 0.86",0.2722,0.313,0.3574
"b= 0.865",0.2748,0.3142,0.362
"b= 0.87",0.2774,0.3162,0.3628
"b= 0.875",0.2832,0.3208,0.3652
"b= 0.88",0.2816,0.32,0.3694
"b= 0.885",0.2806,0.3206,0.3704
"b= 0.89",0.282,0.3226,0.3722
"b= 0.895",0.284,0.323,0.3766
"b= 0.9",0.2874,0.324,0.3784
"b= 0.905",0.2852,0.3248,0.3798
"b= 0.91",0.288,0.3288,0.3812
"b= 0.915",0.2862,0.3312,0.3824
"b= 0.92",0.2892,0.3288,0.384
"b= 0.925",0.2918,0.3306,0.3852
"b= 0.93",0.2948,0.3326,0.3866
"b= 0.935",0.2952,0.3348,0.3858
"b= 0.94",0.298,0.3386,0.3902
"b= 0.945",0.2992,0.3398,0.3926
"b= 0.95",0.2986,0.3386,0.3956
"b= 0.955",0.3024,0.344,0.3958
"b= 0.96",0.3008,0.3418,0.3948
"b= 0.965",0.3064,0.3454,0.4008
"b= 0.97",0.3058,0.3472,0.4026
"b= 0.975",0.306,0.3504,0.4012
"b= 0.98",0.3082,0.351,0.4028
"b= 0.985",0.3072,0.3528,0.4076
"b= 0.99",0.3086,0.3542,0.4084
